month,trip_length
2009-01-01 00:00:00.000000 UTC,3.60E+07
2009-02-01 00:00:00.000000 UTC,3.49E+07
2009-03-01 00:00:00.000000 UTC,3.89E+07
2009-04-01 00:00:00.000000 UTC,3.84E+07
2009-05-01 00:00:00.000000 UTC,4.06E+07
2009-06-01 00:00:00.000000 UTC,3.86E+07
2009-07-01 00:00:00.000000 UTC,3.75E+07
2009-08-01 00:00:00.000000 UTC,3.82E+07
2009-09-01 00:00:00.000000 UTC,3.88E+07
2009-10-01 00:00:00.000000 UTC,4.24E+07
2009-11-01 00:00:00.000000 UTC,3.92E+07
2009-12-01 00:00:00.000000 UTC,3.93E+07
2010-01-01 00:00:00.000000 UTC,3.91E+07
2010-02-01 00:00:00.000000 UTC,2.16E+08
2010-03-01 00:00:00.000000 UTC,3.72E+08
2010-04-01 00:00:00.000000 UTC,4.16E+07
2010-05-01 00:00:00.000000 UTC,4.37E+07
2010-06-01 00:00:00.000000 UTC,4.16E+07
2010-07-01 00:00:00.000000 UTC,4.09E+07
2010-08-01 00:00:00.000000 UTC,3.55E+07
2010-09-01 00:00:00.000000 UTC,4.39E+07
2010-10-01 00:00:00.000000 UTC,3.98E+07
2010-11-01 00:00:00.000000 UTC,3.89E+07
2010-12-01 00:00:00.000000 UTC,3.78E+07
2011-01-01 00:00:00.000000 UTC,3.58E+07
2011-02-01 00:00:00.000000 UTC,3.71E+07
2011-03-01 00:00:00.000000 UTC,4.35E+07
2011-04-01 00:00:00.000000 UTC,4.03E+07
2011-05-01 00:00:00.000000 UTC,4.43E+07
2011-06-01 00:00:00.000000 UTC,4.29E+07
2011-07-01 00:00:00.000000 UTC,4.19E+07
2011-08-01 00:00:00.000000 UTC,3.80E+07
2011-09-01 00:00:00.000000 UTC,4.23E+07
2011-10-01 00:00:00.000000 UTC,4.47E+07
2011-11-01 00:00:00.000000 UTC,4.17E+07
2011-12-01 00:00:00.000000 UTC,4.26E+07
2012-01-01 00:00:00.000000 UTC,4.13E+07
2012-02-01 00:00:00.000000 UTC,4.13E+07
2012-03-01 00:00:00.000000 UTC,4.60E+07
2012-04-01 00:00:00.000000 UTC,4.44E+07
2012-05-01 00:00:00.000000 UTC,4.52E+07
2012-06-01 00:00:00.000000 UTC,4.39E+07
2012-07-01 00:00:00.000000 UTC,4.17E+07
2012-08-01 00:00:00.000000 UTC,4.25E+07
2012-09-01 00:00:00.000000 UTC,4.31E+07
2012-10-01 00:00:00.000000 UTC,4.25E+07
2012-11-01 00:00:00.000000 UTC,3.95E+07
2012-12-01 00:00:00.000000 UTC,4.19E+07
2013-01-01 00:00:00.000000 UTC,4.09E+07
2013-02-01 00:00:00.000000 UTC,3.84E+07
2013-03-01 00:00:00.000000 UTC,4.48E+07
2013-04-01 00:00:00.000000 UTC,4.32E+07
2013-05-01 00:00:00.000000 UTC,4.45E+07
2013-06-01 00:00:00.000000 UTC,4.23E+07
2013-07-01 00:00:00.000000 UTC,4.02E+07
2013-08-01 00:00:00.000000 UTC,9.75E+08
2013-09-01 00:00:00.000000 UTC,4.21E+07
2013-10-01 00:00:00.000000 UTC,4.42E+07
2013-11-01 00:00:00.000000 UTC,4.14E+07
2013-12-01 00:00:00.000000 UTC,4.09E+07
2014-01-01 00:00:00.000000 UTC,3.84E+07
2014-02-01 00:00:00.000000 UTC,3.63E+07
2014-03-01 00:00:00.000000 UTC,5.88E+07
2014-04-01 00:00:00.000000 UTC,4.25E+07
2014-05-01 00:00:00.000000 UTC,4.48E+07
2014-06-01 00:00:00.000000 UTC,6.55E+07
2014-07-01 00:00:00.000000 UTC,3.93E+07
2014-08-01 00:00:00.000000 UTC,3.89E+07
2014-09-01 00:00:00.000000 UTC,4.00E+07
2014-10-01 00:00:00.000000 UTC,4.22E+07
2014-11-01 00:00:00.000000 UTC,3.86E+07
2014-12-01 00:00:00.000000 UTC,3.81E+07
2015-01-01 00:00:00.000000 UTC,1.72E+08
2015-02-01 00:00:00.000000 UTC,1.35E+08
2015-03-01 00:00:00.000000 UTC,2.10E+08
2015-04-01 00:00:00.000000 UTC,4.04E+08
2015-05-01 00:00:00.000000 UTC,1.79E+08
2015-06-01 00:00:00.000000 UTC,1.46E+08
2015-07-01 00:00:00.000000 UTC,8.45E+07
2015-08-01 00:00:00.000000 UTC,9.23E+07
2015-09-01 00:00:00.000000 UTC,7.92E+07
2015-10-01 00:00:00.000000 UTC,5.38E+07
2015-11-01 00:00:00.000000 UTC,3.03E+08
2015-12-01 00:00:00.000000 UTC,6.07E+07